ID,HumanEval_PTO,HumanEval_F,HumanEval_C
1,TRUE,TRUE,TRUE
2,FALSE,TRUE,FALSE
3,TRUE,TRUE,TRUE
4,FALSE,TRUE,TRUE
5,TRUE,TRUE,TRUE
6,TRUE,TRUE,TRUE
7,FALSE,FALSE,FALSE
8,FALSE,TRUE,TRUE
9,TRUE,TRUE,TRUE
10,TRUE,FALSE,FALSE
11,FALSE,TRUE,TRUE
12,TRUE,TRUE,TRUE
13,TRUE,TRUE,TRUE
14,FALSE,TRUE,TRUE
15,TRUE,TRUE,TRUE
16,FALSE,TRUE,TRUE
17,TRUE,TRUE,TRUE
18,TRUE,TRUE,TRUE
19,FALSE,TRUE,TRUE
20,TRUE,FALSE,FALSE
21,TRUE,FALSE,FALSE
22,TRUE,TRUE,TRUE
23,FALSE,TRUE,TRUE
24,TRUE,TRUE,TRUE
25,FALSE,TRUE,TRUE
26,FALSE,FALSE,FALSE
27,FALSE,FALSE,FALSE
28,TRUE,TRUE,TRUE
29,TRUE,TRUE,TRUE
30,FALSE,TRUE,TRUE
31,TRUE,TRUE,TRUE
32,TRUE,TRUE,TRUE
33,FALSE,FALSE,FALSE
34,FALSE,TRUE,TRUE
35,FALSE,TRUE,TRUE
36,TRUE,TRUE,TRUE
37,FALSE,TRUE,TRUE
38,FALSE,TRUE,TRUE
39,TRUE,TRUE,TRUE
40,FALSE,FALSE,FALSE
41,FALSE,TRUE,TRUE
42,FALSE,FALSE,FALSE
43,TRUE,TRUE,TRUE
44,TRUE,TRUE,TRUE
45,FALSE,TRUE,TRUE
46,TRUE,TRUE,TRUE
47,TRUE,TRUE,TRUE
48,TRUE,TRUE,TRUE
49,FALSE,TRUE,TRUE
50,TRUE,TRUE,TRUE
51,TRUE,TRUE,TRUE
52,FALSE,TRUE,TRUE
53,FALSE,TRUE,TRUE
54,TRUE,TRUE,TRUE
55,FALSE,FALSE,FALSE
56,FALSE,TRUE,TRUE
57,FALSE,TRUE,TRUE
58,FALSE,TRUE,TRUE
59,FALSE,TRUE,TRUE
60,FALSE,TRUE,TRUE
61,FALSE,TRUE,TRUE
62,FALSE,TRUE,TRUE
63,FALSE,FALSE,FALSE
64,FALSE,TRUE,TRUE
65,FALSE,FALSE,FALSE
66,FALSE,FALSE,FALSE
67,TRUE,TRUE,TRUE
68,FALSE,TRUE,TRUE
69,TRUE,TRUE,TRUE
70,TRUE,FALSE,FALSE
71,FALSE,FALSE,FALSE
72,FALSE,FALSE,FALSE
73,FALSE,TRUE,TRUE
74,FALSE,TRUE,TRUE
75,TRUE,FALSE,FALSE
76,FALSE,FALSE,FALSE
77,FALSE,FALSE,FALSE
78,FALSE,FALSE,FALSE
79,TRUE,FALSE,FALSE
80,TRUE,TRUE,TRUE
81,TRUE,TRUE,TRUE
82,TRUE,TRUE,TRUE
83,TRUE,FALSE,TRUE
84,FALSE,FALSE,FALSE
85,FALSE,TRUE,TRUE
86,FALSE,TRUE,FALSE
87,TRUE,TRUE,TRUE
88,FALSE,FALSE,TRUE
89,FALSE,FALSE,FALSE
90,FALSE,FALSE,FALSE
91,FALSE,FALSE,FALSE
92,FALSE,FALSE,FALSE
93,FALSE,TRUE,FALSE
94,FALSE,FALSE,FALSE
95,FALSE,TRUE,TRUE
96,FALSE,FALSE,FALSE
97,TRUE,TRUE,TRUE
98,FALSE,FALSE,FALSE
99,TRUE,TRUE,TRUE
100,TRUE,FALSE,FALSE
101,FALSE,FALSE,FALSE
102,TRUE,FALSE,FALSE
103,FALSE,FALSE,FALSE
104,FALSE,FALSE,FALSE
105,FALSE,TRUE,TRUE
106,FALSE,FALSE,FALSE
107,TRUE,TRUE,TRUE
108,TRUE,TRUE,TRUE
109,FALSE,FALSE,FALSE
110,FALSE,FALSE,FALSE
111,FALSE,TRUE,TRUE
112,FALSE,FALSE,FALSE
113,TRUE,TRUE,TRUE
114,FALSE,FALSE,FALSE
115,FALSE,FALSE,FALSE
116,FALSE,FALSE,FALSE
117,TRUE,TRUE,TRUE
118,FALSE,FALSE,FALSE
119,TRUE,TRUE,FALSE
120,FALSE,FALSE,FALSE
121,FALSE,FALSE,FALSE
122,TRUE,TRUE,TRUE
123,FALSE,FALSE,FALSE
124,TRUE,FALSE,FALSE
125,FALSE,TRUE,TRUE
126,TRUE,FALSE,FALSE
127,FALSE,FALSE,FALSE
128,FALSE,FALSE,FALSE
129,FALSE,FALSE,FALSE
130,FALSE,FALSE,FALSE
131,FALSE,FALSE,FALSE
132,FALSE,FALSE,FALSE
133,FALSE,FALSE,FALSE
134,FALSE,FALSE,FALSE
135,TRUE,FALSE,FALSE
136,FALSE,FALSE,FALSE
137,TRUE,FALSE,FALSE
138,FALSE,FALSE,FALSE
139,FALSE,FALSE,FALSE
140,FALSE,FALSE,FALSE
141,FALSE,FALSE,FALSE
142,FALSE,FALSE,FALSE
143,FALSE,FALSE,FALSE
144,TRUE,TRUE,TRUE
145,FALSE,FALSE,FALSE
146,FALSE,FALSE,FALSE
147,TRUE,FALSE,FALSE
148,TRUE,TRUE,TRUE
149,TRUE,FALSE,FALSE
150,TRUE,TRUE,TRUE
151,TRUE,FALSE,FALSE
152,FALSE,FALSE,FALSE
153,FALSE,TRUE,TRUE
154,FALSE,FALSE,FALSE
155,TRUE,TRUE,TRUE
156,TRUE,TRUE,TRUE
157,TRUE,FALSE,FALSE
158,TRUE,FALSE,FALSE
159,FALSE,FALSE,FALSE
160,TRUE,TRUE,TRUE
161,FALSE,FALSE,FALSE
162,FALSE,FALSE,FALSE
163,FALSE,FALSE,FALSE
164,FALSE,FALSE,FALSE
